,0,1,2,3,4,5,6,7,8,9
0.6780425279032167_4.0,8212.03001910363,15890.588471284074,19670.780039074474,21656.740152183258,22791.82226427662,23279.76177973614,24175.61288883846,24582.430863109876,25179.59607153423,25921.945228875236
0.8761702030396987_3.0,11391.029575470733,20026.893876133265,25437.88318257231,29700.992785618444,32002.13155461675,33786.04952875171,35749.19523741483,36933.4742633146,39052.80563889994,41395.56238594677
0.7771063654714577_1.0,16499.42077597496,24135.24194483755,29509.350018898,34275.39491416787,37897.53462145818,41108.14975460042,44856.06322679734,48820.655363735204,54787.34374755168,67164.39141522406
0.6780425279032167_2.0,13549.08387743336,20725.132434116524,25345.655653118432,29177.92904473568,31946.87546272217,33930.724396160156,36425.07491163254,38485.79370663307,41535.99813629985,46280.95009122152
0.8761702030396987_4.0,8356.0789310175,17344.80115247371,22948.430068744154,26634.570303022992,28073.454356175684,29183.200531548646,30408.708817896753,30935.020368633668,32010.616295629352,32974.749869191255
0.9257021218238193_2.0,14603.726148185478,22927.483729035674,28506.50981991526,33394.387620920024,36608.64416678067,39311.33520997024,42316.13238226657,44863.65365647206,48889.840175238416,54844.231884061264
0.7275744466873373_3.0,11064.154552033735,18783.978310602542,23313.30236415322,26466.37500736127,28481.71352955101,29690.718144899834,31301.688399550727,32255.182058561048,33809.217062865086,35696.91241957047
0.8514042436476386_1.0,16915.66303336606,24757.431602947814,30248.305512260253,35189.75384061352,38839.071374376064,42217.15351114741,46012.57878027454,50046.393041550305,56209.36053822299,68826.67994047915
0.7771063654714577_3.0,11187.961691576587,19256.61618981722,24102.495416911766,27608.422931732366,29739.327298188276,31093.280467868513,32874.97062140204,33902.95004449435,35619.51189433612,37664.95758291126
0.900936162431759_1.0,17177.310468496296,25149.605766409786,30714.696136605253,35779.14031623128,39463.282705124126,42888.0107694476,46765.8045710963,50808.393225024956,57119.281334165724,69879.64358231187
0.900936162431759_4.0,8366.663849805827,17474.630127209115,23267.214640289087,27159.87121463551,28692.576501786152,29842.797802708967,31138.490409688726,31683.78227556866,32806.58808963042,33837.256607716066
0.6780425279032167_1.0,15906.653868830781,23254.15237560511,28403.341924349876,32976.458500982444,36526.192972107325,39534.90427207472,43189.733524796975,47018.346214284546,52765.86568707311,64746.44127892079
0.7275744466873373_1.0,16208.292051948583,23705.60910932812,28980.73438104106,33625.75626185458,37226.08305434405,40354.34954500324,44048.558159425214,47927.31197848869,53793.01361348617,65995.39412102902
0.8514042436476386_3.0,11343.443733640956,19864.943290632214,25138.124933791925,29186.260762593793,31446.203516748898,33166.15191896228,35037.313056101564,36204.26434506238,38211.81233919535,40493.91141013571
0.9257021218238193_3.0,11472.712419772583,20352.82352103316,26043.761367042054,30611.706136807526,33078.89759603221,34963.07921768039,37063.49165013935,38361.327175123915,40658.67156926276,43172.36194626619
0.9504680812158794_2.0,14703.263158910748,23063.196365192125,28783.381393582782,33743.66050109503,36955.057781939075,39806.509092381064,42788.637198623095,45457.67273457641,49491.79700621543,55582.33300110547
0.6532765685111566_4.0,8181.863333116122,15629.532270527796,19158.371410500502,20982.0756287249,22063.062986478006,22526.230601265655,23342.627008361396,23728.803494915315,24315.87534266222,25000.208232383644
0.7275744466873373_2.0,13796.366299103023,21238.85202283529,26113.34376962894,30112.081259221155,33002.324728745196,35163.091119097546,37754.85749779826,39914.26955408907,43172.43489515221,48198.15917572294
0.9257021218238193_4.0,8376.541533990343,17583.45775577487,23569.245548730312,27699.42121105503,29296.445090229343,30493.043748503027,31843.192337884964,32418.870861720356,33640.17233659267,34676.82157856799
0.7523404060793975_3.0,11128.80022772369,19027.826566039286,23719.33470137114,27050.516160780957,29096.860149510376,30386.323995677812,32123.34364889259,33085.497455880315,34733.66123056642,36691.49823292488
0.8266382842555782_3.0,11296.247328662274,19666.962225775216,24801.91184239715,28688.144613306948,30899.902383191795,32496.60006530305,34357.227237559266,35442.953365044006,37354.36900791996,39570.91128807784
0.6532765685111566_2.0,13410.73819014661,20453.558859350418,24944.751088159555,28682.070580761574,31377.824634595716,33319.882607773536,35731.83409798892,37707.58084271077,40687.5741491441,45268.420915506234
0.9504680812158794_1.0,17437.400562936145,25514.79079130647,31199.302768756716,36326.43146860825,40036.62966610707,43556.69143773894,47462.472278438785,51595.46179385711,57972.24716097022,70882.94535842807
0.7275744466873373_4.0,8259.939476044554,16361.64844793523,20671.28525654758,22964.02283833574,24202.19554025771,24823.967034966896,25772.690799461834,26242.495475290165,26919.68612432208,27726.168429130234
0.801872324863518_3.0,11244.235953868156,19465.382227173617,24465.622345633292,28140.593662197294,30351.312002297916,31800.51573863345,33623.45156395103,34694.309407681125,36492.19065306709,38618.67169402767
0.9752340406079397_2.0,14786.020706980396,23228.850971602737,29049.11544191388,34054.24421000562,37351.568557003055,40257.132825925604,43291.37710112515,45978.96659381098,50091.5424944285,56308.7561931651
0.900936162431759_3.0,11432.951640398049,20200.33051986617,25745.65848818559,30155.199673038762,32548.561115142995,34382.36569616991,36416.156357477834,37659.217329146384,39842.27069793267,42305.0146438431
0.8761702030396987_1.0,17048.24357442311,24957.367596591143,30465.627404506977,35500.87850961796,39148.78729080997,42561.73013983589,46400.73242590831,50423.48469540542,56679.469834840595,69347.71216843397
0.702808487295277_4.0,8237.994733293419,16124.494826882834,20191.2851121309,22317.342385607993,23485.836327921308,24081.214385782852,24966.16341411351,25425.346258064954,26055.938128991318,26824.27031780041
0.6532765685111566_3.0,10836.66440553372,17973.507223093187,21906.332727510468,24649.458418078986,26433.334970155956,27417.502588319698,28823.791926092956,29635.190761131948,30975.237417024837,32592.04621404569
0.702808487295277_3.0,10996.846132560147,18519.927477663805,22870.202484465874,25877.94969200015,27806.508947983377,28959.957386384045,30492.118423590007,31412.533532467834,32879.61955817822,34679.284688598374
0.6780425279032167_3.0,10920.933514342309,18258.05368342174,22387.000226197244,25277.599499119016,27143.142292737244,28167.910319318744,29678.2957452872,30541.858437286188,31926.518731860655,33653.34582659459
0.7771063654714577_4.0,8298.212282138946,16767.713439567342,21520.277588863024,24231.365329122822,25566.523861753052,26276.645647226826,27380.55882877407,27859.455522013235,28637.134258618626,29501.91237052079
0.8514042436476386_2.0,14330.165379941718,22363.329193624635,27687.447556876625,32261.863715630225,35326.03900706651,37905.15519902239,40722.743913476515,43148.90062813075,46876.61926673654,52517.62317913873
0.7523404060793975_2.0,13913.424359890525,21479.313089553794,26460.545177765474,30578.882715137654,33480.8213729153,35718.713281420314,38407.569844607686,40608.768482521285,43966.16314107061,49110.560940090676
0.9504680812158794_3.0,11545.297366495472,20301.5929875236,26348.01717555326,31041.321529814213,33514.9322342766,35604.69962592069,37663.82567877049,39104.49448464698,41411.012635427025,44029.652695563505
0.7523404060793975_1.0,16355.832424032109,23920.071236911335,29251.4885144823,33963.24318624421,37546.84138862005,40723.38961028049,44467.062424114396,48382.52901614908,54305.91066672838,66587.44434217735
0.9752340406079397_1.0,17559.262069374592,25701.49875131199,31438.34427820682,36574.25857501557,40330.84679041894,43888.25767058969,47822.89283285985,51955.427716353464,58374.097648926225,71383.92773642208
0.9752340406079397_4.0,8447.026043353202,16825.256036010738,24181.742748816367,28623.448648016703,30402.08340608552,31869.970094329863,33203.406360189765,33918.04428994473,35195.24968505679,36338.36608598011
0.9257021218238193_1.0,17307.29618720962,25333.37629864353,30956.999098366894,36052.23723822704,39777.63677790431,43204.335156994064,47127.34265542622,51183.956570687464,57571.061378376166,70379.11302503746
0.7771063654714577_2.0,14023.943533055086,21712.734628417053,26786.341116636475,31017.21249368653,33986.01050000859,36283.764791045964,39005.884399683215,41280.78514081066,44715.48686637184,49996.94128545401
0.6532765685111566_1.0,15744.077947514721,23022.825256650878,28104.626146887043,32640.191207730582,36148.87408610653,39137.738823738306,42768.626633652806,46521.05674957989,52221.371276284815,64099.43978425629
0.9752340406079397_3.0,11583.462558653231,20420.85000618232,26636.539967027413,31418.86155431952,34026.00397222724,36176.34384692912,38299.699859256325,39767.20733285292,42157.031349399746,44877.121144354685
0.9504680812158794_4.0,8437.196441698596,16775.154180904283,23883.29371881194,28196.075575953553,29792.684572861228,31225.20966476968,32504.995504130227,33201.7289352452,34419.989377857346,35509.155949460546
0.8761702030396987_2.0,14425.914189410412,22556.63482752839,27949.693308126585,32671.328824912307,35757.926133057896,38396.55430527797,41282.49345392139,43725.4739711655,47575.780020331564,53304.72669095759
0.801872324863518_1.0,16638.224703429696,24351.316041129594,29758.444385904277,34580.329251388976,38231.86048061689,41470.440092718934,45268.544190731845,49235.64330331964,55270.07349543383,67723.35625901466
0.801872324863518_4.0,8315.518236853974,16921.308110361962,21911.665553788822,24835.813620068926,26233.758493088033,27037.952498910578,28149.53378927516,28653.78075238964,29477.20747247484,30376.429699025703
0.702808487295277_1.0,16060.93337763989,23477.158303082837,28701.62527548241,33308.11763691528,36872.710415204565,39956.40084603479,43624.07468016624,47474.70968389185,53286.138118228926,65377.044096940364
0.8266382842555782_2.0,14232.441903982299,22154.3467228494,27390.130596194835,31868.5527562708,34900.0185371596,37371.76542942519,40185.29177467503,42535.54892203037,46167.42478076465,51704.93032434693
0.702808487295277_2.0,13677.735268960283,20980.5470416171,25745.153255809084,29652.409634538126,32472.018398715136,34569.93542533608,37097.69389615824,39211.580344423295,42368.316619719764,47249.26132448545
0.8514042436476386_4.0,8342.736922431546,17241.70917897261,22627.628779639886,26035.350981559324,27444.444953673552,28515.17036271738,29641.611735818522,30175.579284511525,31179.864451294045,32120.919361212877
0.7523404060793975_4.0,8280.314133401178,16574.678402476973,21104.545854249605,23607.069798614142,24869.852756687473,25540.229466580135,26608.631657088667,27049.488590093457,27790.368203281323,28619.03576311184
0.900936162431759_2.0,14515.916248713716,22750.234237796336,28231.57325278968,33035.10538446294,36188.1549000773,38861.36380120126,41804.2995310721,44305.15490086471,48225.06301424209,54097.72274441089
0.8266382842555782_1.0,16777.7803010762,24558.464497083078,29998.184183664707,34898.92216443057,38537.513150917584,41841.85332200351,45651.80098086969,49639.034676177194,55736.503174320664,68292.15346940958
0.8266382842555782_4.0,8330.103024921,17082.857629959202,22270.12759598528,25461.21051415988,26832.745605250508,27799.1269426261,28927.534722033422,29398.870178832254,30322.70020250788,31256.775279085086
0.801872324863518_2.0,14129.379573957001,21939.67743595988,27096.97318647464,31436.21383241264,34466.49035234691,36830.30424152483,39610.23257581936,41922.67168289497,45451.688348839285,50851.817084884206
